run_id,run_name,loss_type,lr,margin,scale,k,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_epochs
e5oldyeb,LA-CDIP_InternVL3-2B_contrastive_20260209-185715,contrastive,1.0054819973682317e-06,0.7972493868287651,64.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850077,True,3
kkwupdzb,LA-CDIP_InternVL3-2B_contrastive_20260209-195705,contrastive,1.0185313638540517e-06,0.9733856401595462,64.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850077,True,3
xy4z7pi2,LA-CDIP_InternVL3-2B_contrastive_20260209-205650,contrastive,2.226507439750617e-06,0.8542407842437969,64.0,3,0.007462686567164179,0.025342039800995045,0.017879353233830865,0.008428407943247621,False,3
wb84hgjq,LA-CDIP_InternVL3-2B_contrastive_20260209-215639,contrastive,1.0435711952086774e-06,0.47091362542084514,64.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850077,True,3
akko00te,LA-CDIP_InternVL3-2B_triplet_20260209-225632,triplet,0.0009327402584514404,0.7625470888105331,64.0,3,0.1400808457711443,0.21610696517412936,0.07602611940298507,0.09613811827846774,True,3
tho9467u,LA-CDIP_InternVL3-2B_triplet_20260209-235614,triplet,8.999843155271316e-06,0.16573154745293484,64.0,3,0.017879353233830865,0.025342039800995045,0.00746268656716418,0.01540216983721403,True,3
m9ufteuc,LA-CDIP_InternVL3-2B_triplet_20260210-005558,triplet,8.777210659552039e-05,0.7507859884260469,64.0,3,0.017879353233830865,0.017879353233830865,0.0,0.014039866824964877,True,3
m2kligwv,LA-CDIP_InternVL3-2B_triplet_20260210-015539,triplet,0.0004013544922443824,0.32329286617169706,64.0,3,0.09685945273631838,0.09685945273631838,0.0,0.010633186749956471,True,3
0gi02r3o,LA-CDIP_InternVL3-2B_triplet_20260210-025523,triplet,0.00025279095304501186,0.48774025822921296,64.0,3,0.04322139303482585,0.08644278606965175,0.0432213930348259,0.017732515862129948,False,3
f2nod9zf,LA-CDIP_InternVL3-2B_triplet_20260210-035506,triplet,7.123894203255301e-05,0.7413054443003427,64.0,3,0.0,0.0,0.0,0.022299471366034575,True,3
8qhg1n1f,LA-CDIP_InternVL3-2B_triplet_20260210-045448,triplet,6.915035364314507e-05,0.543070472969997,64.0,3,0.025342039800995045,0.04322139303482585,0.017879353233830803,0.007332347716373523,False,3
mf47hh17,LA-CDIP_InternVL3-2B_triplet_20260210-055429,triplet,1.4388138602600424e-05,0.6773900654272133,64.0,3,0.007462686567164179,0.017879353233830865,0.010416666666666685,0.0049104637582399226,False,3
p6eip7ev,LA-CDIP_InternVL3-2B_triplet_20260210-065417,triplet,1.791178248044966e-05,0.872947724227407,64.0,3,0.0,0.0,0.0,0.003517944185007699,True,3
klyqw2kv,LA-CDIP_InternVL3-2B_triplet_20260210-075403,triplet,2.9878182019693355e-06,0.8780770869582873,64.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
dip335zr,LA-CDIP_InternVL3-2B_triplet_20260210-085349,triplet,1.3773370289429831e-06,0.6055193342137466,64.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850076995,True,3
d8ryqhu3,LA-CDIP_InternVL3-2B_triplet_20260210-095336,triplet,1.051990243497364e-06,0.31749526148965485,64.0,3,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
vbv64pya,LA-CDIP_InternVL3-2B_triplet_20260210-105322,triplet,4.576875968872885e-06,0.4209459834760111,64.0,3,0.007462686567164179,0.017879353233830865,0.010416666666666685,0.0049104637582399226,False,3
dikwutz4,LA-CDIP_InternVL3-2B_triplet_20260210-115308,triplet,8.90781961237544e-06,0.9953982014163631,64.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
si4kfwgk,LA-CDIP_InternVL3-2B_triplet_20260210-125256,triplet,1.1555121940536004e-06,0.10828087490103191,64.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
yhkkqjxi,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-135252,subcenter_arcface,6.289716063774996e-06,0.3524286673734214,32.0,4,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850076995,False,3
ng141bo3,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-145241,subcenter_arcface,2.4471018951367863e-05,0.2365284523281113,32.0,1,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
tt0vvzy5,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-155227,subcenter_arcface,0.0007340476986327333,0.1272139794085684,32.0,1,0.43470149253731344,0.5132151741293532,0.07851368159203981,0.03380361121998872,False,3
1tl5pabh,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-165212,subcenter_arcface,6.681777997975487e-06,0.3724359017275719,32.0,4,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
7tvwxlk1,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-175201,subcenter_arcface,4.745090800917876e-06,0.2909026842003646,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850077,True,3
oy9nwbpv,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-185150,subcenter_arcface,4.53912945215364e-06,0.33155952201597516,32.0,1,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
l9x1xoas,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-195138,subcenter_arcface,1.7345476596077634e-06,0.15367936988255018,32.0,1,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
gdpoc75j,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-205125,subcenter_arcface,1.0252905916513218e-06,0.5602306284009633,32.0,4,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
7rlk0lae,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-215112,subcenter_arcface,1.4012499995063487e-06,0.5947409426266075,32.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
baab77kb,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-225056,subcenter_arcface,3.3740626712389775e-06,0.5708193685012262,32.0,1,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
t4za24cp,LA-CDIP_InternVL3-2B_subcenter_arcface_20260210-235048,subcenter_arcface,4.323503012428773e-05,0.5994816846877559,32.0,3,0.017879353233830865,0.06110074626865672,0.043221393034825854,0.017732515862129927,False,3
7624xc2u,LA-CDIP_InternVL3-2B_subcenter_cosface_20260215-110936,subcenter_cosface,1.4385806017344154e-06,0.3557427910330141,32.0,1,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
re8gkxvs,LA-CDIP_InternVL3-2B_subcenter_cosface_20260215-120937,subcenter_cosface,3.5242153709152285e-05,0.17111891508662128,32.0,4,0.014925373134328358,0.017879353233830865,0.002953980099502507,0.004383360375993062,False,3
hfycke94,LA-CDIP_InternVL3-2B_subcenter_cosface_20260215-130948,subcenter_cosface,1.126612325694407e-05,0.4399203373192859,32.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850077,True,3
giah7t2k,LA-CDIP_InternVL3-2B_subcenter_cosface_20260215-140944,subcenter_cosface,1.4457565238126857e-06,0.4233447701183227,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
yq2wal8k,LA-CDIP_InternVL3-2B_subcenter_cosface_20260215-150945,subcenter_cosface,0.0002719546123666472,0.5414394531145492,32.0,1,0.06405472636815922,0.1654228855721393,0.10136815920398008,0.04307318515317288,False,3
s6u28mfl,LA-CDIP_InternVL3-2B_subcenter_cosface_20260215-160955,subcenter_cosface,1.2095418930875167e-05,0.3797081466170696,32.0,3,0.025342039800995045,0.025342039800995045,0.0,0.008428407943247593,False,3
0i5clg68,LA-CDIP_InternVL3-2B_subcenter_cosface_20260215-170958,subcenter_cosface,0.0002567623636777662,0.5900316594681586,32.0,2,0.05363805970149253,0.14754353233830847,0.09390547263681594,0.04071292436708633,False,3
ot4cwoqe,LA-CDIP_InternVL3-2B_subcenter_arcface_20260214-201101,subcenter_arcface,9.362261623630456e-05,0.13180517275640422,32.0,1,0.007462686567164179,0.08644278606965175,0.07898009950248758,0.032397138545809,False,3
e7vsn061,LA-CDIP_InternVL3-2B_subcenter_arcface_20260214-211117,subcenter_arcface,1.0838762019831773e-06,0.5892744204721994,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
mvjhs5su,LA-CDIP_InternVL3-2B_subcenter_arcface_20260214-221104,subcenter_arcface,1.1247543554978543e-06,0.568941155729987,32.0,1,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
